CYTK2	adp|atp|dcdp|dcmp
D-LACt2pp	h|lac-D
D-LACtex	lac-D
DAAD	ala-D|fad|fadh2|h2o|nh4|pyr
DADA	dad-2|din|h|h2o|nh4
DADK	adp|atp|dadp|damp
DADNt2pp	dad-2|h
DADNtex	dad-2
DAGK120	12dgr120|adp|atp|pa120
DAGK140	12dgr140|adp|atp|pa140
DAGK141	12dgr141|adp|atp|pa141
DAGK160	12dgr160|adp|atp|pa160
DAGK161	12dgr161|adp|atp|pa161
DAGK180	12dgr180|adp|atp|pa180
DAGK181	12dgr181|adp|atp|pa181
DALAt2pp	ala-D|h
DALAtex	ala-D
DAMPtex	damp
DAPAL	23dappa|h2o|nh4|pyr
DAPDC	26dap-M|co2|h|lys-L
DAPE	26dap-LL|26dap-M
DAPabcpp	26dap-M|adp|atp|h|h2o|pi
DAPtex	15dap
DASYN120	cdpdddecg|ctp|h|pa120|ppi
DASYN140	cdpdtdecg|ctp|h|pa140|ppi
DASYN141	cdpdtdec7eg|ctp|h|pa141|ppi
DASYN160	cdpdhdecg|ctp|h|pa160|ppi
DASYN161	cdpdhdec9eg|ctp|h|pa161|ppi
DASYN180	cdpdodecg|ctp|h|pa180|ppi
DASYN181	cdpdodec11eg|ctp|h|pa181|ppi
DATPHs	datp|ditp|h|h2o|nh4
DB4PS	db4p|for|h|ru5p-D
DBTS	adp|atp|co2|dann|dtbt|h|pi
DCAtex	dca
DCMPtex	dcmp
DCTPD	dctp|dutp|h|h2o|nh4
DCYTD	dcyt|duri|h|h2o|nh4
DCYTt2pp	dcyt|h
DCYTtex	dcyt
DDCAtexi	ddca
DDGALK	2dh3dgal|2dh3dgal6p|adp|atp
DDGLCNt2rpp	2ddglcn|h
DDGLCNtex	2ddglcn
DDGLK	2ddg6p|2ddglcn|adp|atp
DDPA	2dda7p|e4p|h|h2o|pep|pi
DDPGALA	2dh3dgal6p|g3p|pyr
DGK1	adp|atp|dgdp|dgmp
DGMPtex	dgmp
DGSNt2pp	dgsn|h
DGSNtex	dgsn
DHAD1	23dhmb|3mob|h2o
DHAD2	23dhmp|3mop|h2o
DHAPT	dha|dhap|pep|pyr
DHAtex	dha
DHAtpp	dha
DHBD	23ddhb|23dhb|h|nad|nadh
DHBS	23dhb|23dhba|atp|h|ppi
DHBSH	23dhb|23dhbzs|h2o|ser-L
DHCIND	cenchddd|dhcinnm|h|nad|nadh
DHCINDO	dhcinnm|h|hkntd|o2
DHDPRy	23dhdp|h|nadp|nadph|thdp
DHDPS	23dhdp|aspsa|h|h2o|pyr
DHFR	dhf|h|nadp|nadph|thf
DHFS	adp|atp|dhf|dhpt|glu-L|h|pi
DHNAOT4	2dmmql8|co2|dhna|h|octdp|ppi
